id,ACR_FA,ACR-L_FA,ACR-R_FA,ALIC_FA,ALIC-L_FA,ALIC-R_FA,AverageFA_FA,BCC_FA,CC_FA,CGC_FA,CGC-L_FA,CGC-R_FA,CGH_FA,CGH-L_FA,CGH-R_FA,CR_FA,CR-L_FA,CR-R_FA,CST_FA,CST-L_FA,CST-R_FA,EC_FA,EC-L_FA,EC-R_FA,FX_FA,FX/ST-L_FA,FX/ST-R_FA,FXST_FA,GCC_FA,IC_FA,IC-L_FA,IC-R_FA,IFO_FA,IFO-L_FA,IFO-R_FA,PCR_FA,PCR-L_FA,PCR-R_FA,PLIC_FA,PLIC-L_FA,PLIC-R_FA,PTR_FA,PTR-L_FA,PTR-R_FA,RLIC_FA,RLIC-L_FA,RLIC-R_FA,SCC_FA,SCR_FA,SCR-L_FA,SCR-R_FA,SFO_FA,SFO-L_FA,SFO-R_FA,SLF_FA,SLF-L_FA,SLF-R_FA,SS_FA,SS-L_FA,SS-R_FA,UNC_FA,UNC-L_FA,UNC-R_FA
SPN01_MRC_0012_01,0.435739,0.432419,0.439079,0.550658,0.545302,0.555527,0.389418,0.626981,0.652585,0.490797,0.525921,0.453226,0.454926,0.470956,0.438773,0.458352,0.459753,0.456999,0.456177,0.4774,0.433448,0.376108,0.383785,0.368462,0.459922,0.531132,0.443765,0.49277,0.625894,0.555391,0.565608,0.545694,0.489423,0.480703,0.496689,0.47722,0.479828,0.474896,0.601477,0.598452,0.604472,0.499024,0.484943,0.512673,0.505486,0.545773,0.467501,0.708922,0.474063,0.481263,0.467137,0.453654,0.481328,0.426828,0.460328,0.46751,0.453297,0.434059,0.439519,0.428583,0.541598,0.553057,0.5337
SPN01_MRC_0011_01,0.43308,0.405435,0.460885,0.516641,0.516239,0.517006,0.419067,0.649442,0.687001,0.618243,0.645009,0.589612,0.523012,0.554442,0.491342,0.439468,0.425021,0.453419,0.543061,0.55587,0.529342,0.444565,0.438263,0.45084,0.475437,0.493181,0.470461,0.483205,0.687906,0.568203,0.574566,0.562165,0.487501,0.479273,0.494357,0.428581,0.416019,0.439772,0.628712,0.640791,0.616754,0.555156,0.545227,0.564781,0.548455,0.551784,0.545317,0.737852,0.452293,0.452059,0.452519,0.474434,0.481478,0.467606,0.487314,0.483547,0.491002,0.557433,0.563494,0.551353,0.54735,0.518559,0.567192
SPN01_ZHH_0021_01,0.424078,0.411609,0.43662,0.568338,0.54577,0.588851,0.413245,0.673438,0.67568,0.551345,0.56571,0.535979,0.482344,0.456931,0.507951,0.439952,0.430389,0.449187,0.559699,0.552175,0.567757,0.453313,0.444593,0.461998,0.450499,0.53862,0.560513,0.548233,0.635438,0.601488,0.593124,0.609426,0.533588,0.54546,0.523694,0.440686,0.438151,0.442944,0.667789,0.660799,0.674708,0.495892,0.494741,0.497008,0.556282,0.55771,0.554936,0.710694,0.457451,0.448165,0.466382,0.528142,0.517224,0.538725,0.476741,0.46779,0.485505,0.527577,0.531768,0.523373,0.406153,0.436845,0.385
SPN01_ZHH_0010_01,0.513328,0.51664,0.509997,0.589255,0.59199,0.586769,0.436323,0.622853,0.698052,0.635213,0.655526,0.613484,0.520786,0.527632,0.513888,0.510007,0.509164,0.510821,0.584403,0.592046,0.576218,0.460978,0.465894,0.456082,0.373004,0.514407,0.524513,0.518844,0.717685,0.638485,0.642914,0.634282,0.554492,0.554389,0.554577,0.490486,0.475133,0.504163,0.712467,0.725254,0.699809,0.605235,0.593385,0.61672,0.600397,0.593201,0.607182,0.785721,0.516364,0.517467,0.515302,0.511494,0.51438,0.508697,0.511618,0.500382,0.522619,0.543693,0.539142,0.548259,0.584784,0.561624,0.600745
SPN01_MRC_0017_01,0.382873,0.375341,0.390449,0.498786,0.486652,0.509816,0.370952,0.572963,0.616184,0.494581,0.51393,0.473883,0.434912,0.442318,0.42745,0.417109,0.415693,0.418476,0.496666,0.496943,0.496369,0.428853,0.430944,0.426771,0.267433,0.497157,0.430647,0.467953,0.598099,0.555097,0.557886,0.552451,0.465824,0.450437,0.478647,0.443349,0.443283,0.443407,0.635714,0.644054,0.627459,0.519945,0.525564,0.514499,0.516283,0.52363,0.509356,0.689877,0.442096,0.448463,0.435972,0.415876,0.411593,0.420027,0.432184,0.436466,0.427992,0.515984,0.506358,0.52564,0.490972,0.480278,0.498343
SPN01_MRC_0026_01,0.422094,0.416717,0.427503,0.558401,0.555723,0.560835,0.422776,0.684886,0.703467,0.581908,0.628348,0.532232,0.45963,0.475277,0.443864,0.452392,0.452466,0.45232,0.525228,0.515082,0.536095,0.442453,0.453288,0.431663,0.38679,0.54095,0.505909,0.525564,0.696891,0.596705,0.604851,0.588974,0.508181,0.514421,0.502981,0.458177,0.451121,0.464462,0.648978,0.660893,0.637183,0.583122,0.583496,0.582759,0.573345,0.585344,0.562032,0.734198,0.483525,0.494317,0.473145,0.557799,0.524599,0.589983,0.474787,0.482259,0.467471,0.528268,0.54813,0.508344,0.459741,0.424055,0.484336
SPN01_CMH_0013_01,0.457086,0.468919,0.445185,0.537848,0.555979,0.521368,0.436711,0.696233,0.716621,0.605304,0.623709,0.585617,0.563768,0.517363,0.610529,0.477544,0.484614,0.470717,0.556371,0.552398,0.560626,0.483418,0.487933,0.478921,0.51564,0.567602,0.573545,0.570212,0.685562,0.62046,0.62882,0.612526,0.516509,0.507944,0.523647,0.499293,0.500385,0.498321,0.697466,0.703029,0.691959,0.593827,0.59039,0.597158,0.612478,0.610702,0.614153,0.769262,0.489337,0.494856,0.484029,0.498099,0.528571,0.468559,0.503193,0.507563,0.498915,0.554314,0.558761,0.549853,0.623073,0.614204,0.629186
SPN01_MRC_0016_01,0.457742,0.448813,0.466723,0.561602,0.551132,0.571119,0.420058,0.676124,0.698945,0.559254,0.59154,0.524718,0.566328,0.548015,0.584781,0.448559,0.450668,0.446523,0.593207,0.614293,0.570625,0.444934,0.437352,0.452484,0.479527,0.523654,0.500727,0.513587,0.693583,0.580046,0.580634,0.579488,0.546226,0.5525,0.540998,0.421766,0.43093,0.413602,0.617126,0.614483,0.619743,0.549233,0.536571,0.561506,0.554667,0.568684,0.541451,0.734535,0.452075,0.462615,0.441937,0.49453,0.476296,0.512206,0.468329,0.485886,0.45114,0.541516,0.545902,0.537117,0.547896,0.552742,0.544556
SPN01_CMH_0027_01,0.398836,0.39256,0.405149,0.526474,0.539599,0.514544,0.383424,0.565252,0.614104,0.484757,0.502619,0.46565,0.453066,0.463605,0.442446,0.426516,0.422471,0.430423,0.558521,0.582211,0.53315,0.403365,0.411737,0.395028,0.401836,0.484037,0.501436,0.491677,0.595117,0.584891,0.590669,0.579408,0.454163,0.474152,0.437506,0.416323,0.420102,0.412957,0.665861,0.670932,0.660841,0.53977,0.520693,0.558261,0.547785,0.543626,0.551706,0.696246,0.462966,0.458105,0.467641,0.471345,0.470675,0.471994,0.453919,0.447745,0.459964,0.467494,0.455598,0.479426,0.46086,0.480079,0.447615
SPN01_CMH_0020_01,0.466019,0.448069,0.484073,0.56843,0.581525,0.556527,0.449671,0.698411,0.723937,0.598081,0.610577,0.584715,0.602945,0.593942,0.612017,0.491393,0.474197,0.508,0.572742,0.572456,0.573049,0.493433,0.495303,0.49157,0.505699,0.533962,0.557528,0.54431,0.70453,0.627557,0.623322,0.631576,0.552881,0.538238,0.565084,0.523001,0.503229,0.540613,0.688497,0.677737,0.699149,0.620773,0.601422,0.63953,0.614933,0.598534,0.630394,0.774387,0.503622,0.489864,0.516856,0.46285,0.445604,0.479568,0.529753,0.515988,0.543231,0.584885,0.59427,0.575471,0.610155,0.576841,0.633115
SPN01_CMH_0016_01,0.44859,0.441613,0.455607,0.572751,0.578024,0.567958,0.437186,0.67359,0.696375,0.537597,0.550946,0.523317,0.579182,0.563643,0.594841,0.467113,0.463139,0.47095,0.572197,0.584399,0.559129,0.495543,0.495343,0.495742,0.484543,0.579367,0.608852,0.592314,0.678323,0.600411,0.601729,0.599161,0.579186,0.583929,0.575234,0.497581,0.488933,0.505285,0.635522,0.629116,0.641864,0.60893,0.604526,0.613198,0.586671,0.591895,0.581745,0.741986,0.472215,0.475116,0.469425,0.52302,0.556816,0.490258,0.516071,0.51013,0.521888,0.557434,0.54483,0.570076,0.652151,0.624956,0.670894
SPN01_CMH_0026_01,0.450128,0.441247,0.459061,0.567147,0.561968,0.571854,0.428981,0.696867,0.705968,0.554299,0.591153,0.514876,0.521692,0.477362,0.566362,0.474402,0.470914,0.47777,0.578432,0.597723,0.557772,0.432615,0.440854,0.424411,0.503541,0.548477,0.57193,0.558775,0.674644,0.607202,0.606116,0.608233,0.497648,0.492555,0.501892,0.494298,0.47696,0.509742,0.654286,0.657873,0.650736,0.602243,0.583592,0.62032,0.591766,0.586887,0.596367,0.743322,0.49145,0.502084,0.481221,0.50239,0.495313,0.509251,0.496481,0.498467,0.494537,0.574343,0.549001,0.599764,0.531481,0.491143,0.559282
