id,ACR_MD,ACR-L_MD,ACR-R_MD,ALIC_MD,ALIC-L_MD,ALIC-R_MD,AverageFA_MD,BCC_MD,CC_MD,CGC_MD,CGC-L_MD,CGC-R_MD,CGH_MD,CGH-L_MD,CGH-R_MD,CR_MD,CR-L_MD,CR-R_MD,CST_MD,CST-L_MD,CST-R_MD,EC_MD,EC-L_MD,EC-R_MD,FX_MD,FX/ST-L_MD,FX/ST-R_MD,FXST_MD,GCC_MD,IC_MD,IC-L_MD,IC-R_MD,IFO_MD,IFO-L_MD,IFO-R_MD,PCR_MD,PCR-L_MD,PCR-R_MD,PLIC_MD,PLIC-L_MD,PLIC-R_MD,PTR_MD,PTR-L_MD,PTR-R_MD,RLIC_MD,RLIC-L_MD,RLIC-R_MD,SCC_MD,SCR_MD,SCR-L_MD,SCR-R_MD,SFO_MD,SFO-L_MD,SFO-R_MD,SLF_MD,SLF-L_MD,SLF-R_MD,SS_MD,SS-L_MD,SS-R_MD,UNC_MD,UNC-L_MD,UNC-R_MD
SPN01_MRC_0012_01,0.000886622,0.000929708,0.000843288,0.00132218,0.00138563,0.00126451,0.00129751,0.00195235,0.0018499,0.000957137,0.000970927,0.000942386,0.00175929,0.00180454,0.00171369,0.00101047,0.00100745,0.00101338,0.00118353,0.0011345,0.00123604,0.00121804,0.00116222,0.00127363,0.00251408,0.00123044,0.00124036,0.0012348,0.00144038,0.0011387,0.00112806,0.00114881,0.00146457,0.00131808,0.00158665,0.00138328,0.00135207,0.00141108,0.000899169,0.00091792,0.000880608,0.00143674,0.00159467,0.00128367,0.00123771,0.00112855,0.00134064,0.00203424,0.00095711,0.000925708,0.000987314,0.00200217,0.00201365,0.00199105,0.000971643,0.000957261,0.000985724,0.00118236,0.00118096,0.00118376,0.00246567,0.0024202,0.002497
SPN01_MRC_0011_01,0.00102879,0.00110866,0.00094846,0.00128144,0.00135036,0.0012188,0.00131742,0.00182703,0.00193621,0.000950644,0.000943646,0.00095813,0.00233889,0.00240934,0.0022679,0.00102028,0.00104265,0.000998675,0.0010694,0.00102362,0.00111843,0.00128656,0.00121277,0.00136004,0.00246963,0.00133193,0.00134154,0.00133615,0.00192437,0.00114793,0.00118078,0.00111675,0.00133197,0.00117866,0.00145972,0.00134704,0.00131806,0.00137286,0.000786941,0.000798084,0.000775911,0.00158959,0.00183808,0.00134874,0.00144147,0.00147828,0.00140676,0.0020955,0.000841668,0.000829717,0.000853164,0.00118476,0.0014022,0.000973974,0.00095309,0.000985797,0.000921066,0.00129368,0.0013419,0.00124532,0.0022889,0.00240045,0.00221202
SPN01_ZHH_0021_01,0.00112696,0.00120159,0.0010519,0.00120115,0.001203,0.00119946,0.00142156,0.00207079,0.00223073,0.000964427,0.000980584,0.000947145,0.00314253,0.00307591,0.00320967,0.00110879,0.00112514,0.00109301,0.00172735,0.00195626,0.00148219,0.00127857,0.00124913,0.00130789,0.00323572,0.00163008,0.00152238,0.00158279,0.00206947,0.00123208,0.00121987,0.00124367,0.0014881,0.00138113,0.00157724,0.00147519,0.00140475,0.00153793,0.000885441,0.000903942,0.000867126,0.00185639,0.00207525,0.00164425,0.00167459,0.00162082,0.00172528,0.0025783,0.000898798,0.000898076,0.000899492,0.0010354,0.00118129,0.000893968,0.00106291,0.00110462,0.00102208,0.00147389,0.00159201,0.0013554,0.00296301,0.00301998,0.00292374
SPN01_ZHH_0010_01,0.00129047,0.00129701,0.00128389,0.0019084,0.00203482,0.00179349,0.00150114,0.00209555,0.00228954,0.000995863,0.000997945,0.000993635,0.00311941,0.00338599,0.00285079,0.00119085,0.00116612,0.00121474,0.00130846,0.0013904,0.0012207,0.00117838,0.00115464,0.00120203,0.00305078,0.00144539,0.00141281,0.00143108,0.0024088,0.0014685,0.00151896,0.00142062,0.00158847,0.00136342,0.00177602,0.00143771,0.0013955,0.00147531,0.000981709,0.000995147,0.000968407,0.00192092,0.00206228,0.0017839,0.00160207,0.00164517,0.00156143,0.00246125,0.000950948,0.000901309,0.000998693,0.00187127,0.0022477,0.00150636,0.00106295,0.00110708,0.00101975,0.00147541,0.00153303,0.00141762,0.00291407,0.0029046,0.00292059
SPN01_MRC_0017_01,0.00118476,0.0011872,0.0011823,0.00178161,0.00164498,0.0019058,0.00133631,0.00201867,0.00208481,0.000893453,0.000940618,0.000843001,0.00203645,0.00207682,0.00199577,0.00112873,0.00111165,0.00114523,0.00108528,0.00110974,0.00105908,0.00110599,0.00108342,0.00112846,0.0025088,0.00132291,0.00127347,0.0013012,0.00216216,0.0013465,0.00133207,0.0013602,0.00117031,0.00116639,0.00117358,0.00132342,0.00130557,0.00133933,0.00084044,0.000868974,0.000812193,0.0019472,0.00208728,0.00181142,0.00150777,0.00158543,0.00143455,0.00211423,0.000964915,0.00092823,0.0010002,0.00216592,0.00233606,0.00200099,0.000950821,0.000979102,0.000923131,0.00127333,0.00129619,0.00125039,0.00245679,0.00247644,0.00244325
SPN01_MRC_0026_01,0.00100431,0.00111287,0.000895119,0.00125173,0.00147403,0.00104967,0.00124032,0.00197879,0.00198985,0.000866486,0.000919786,0.000809471,0.00218391,0.00238981,0.00197644,0.00101524,0.00107199,0.000960434,0.000908315,0.000897205,0.000920213,0.00100981,0.00108596,0.000933983,0.00253621,0.00123179,0.00118104,0.00120951,0.00191061,0.001092,0.00119427,0.00099494,0.00108155,0.0011571,0.00101859,0.0013131,0.00131026,0.00131563,0.000798879,0.000808756,0.000789102,0.00171673,0.00205558,0.0013883,0.00127855,0.00138608,0.00117717,0.00206791,0.000873474,0.000906458,0.000841748,0.00135807,0.00175357,0.000974685,0.000935474,0.000985119,0.000886867,0.00111221,0.00123586,0.00098818,0.00249173,0.00271703,0.00233646
SPN01_CMH_0013_01,0.00122709,0.00125102,0.00120303,0.00136213,0.00144319,0.00128845,0.00139975,0.00207139,0.00225178,0.000938066,0.000963326,0.000911046,0.00307563,0.00319317,0.00295718,0.00114164,0.00113616,0.00114694,0.00171812,0.00180062,0.00162977,0.00118902,0.00117801,0.00119998,0.00288581,0.00134184,0.00128387,0.00131639,0.00233933,0.00116204,0.00117656,0.00114825,0.00156666,0.00172864,0.00143168,0.00144724,0.00140235,0.00148722,0.000904131,0.000920912,0.000887519,0.00155594,0.00147313,0.00163621,0.00126608,0.00122344,0.00130628,0.00242996,0.000887322,0.000871532,0.000902509,0.00109446,0.00128612,0.000908676,0.000958895,0.000984021,0.000934295,0.00127577,0.00139023,0.00116096,0.0031434,0.00311298,0.00316436
SPN01_MRC_0016_01,0.000981321,0.0010163,0.00094614,0.00109856,0.00107155,0.00112311,0.00126637,0.0016639,0.00184056,0.000933955,0.000923359,0.000945289,0.00210392,0.00222556,0.00198134,0.000969352,0.000970659,0.000968091,0.00100992,0.00110182,0.000911498,0.00108852,0.00103309,0.00114372,0.00249435,0.00120711,0.00117097,0.00119124,0.00187101,0.001038,0.0010147,0.00106011,0.00139777,0.00126483,0.00150856,0.00129302,0.00128162,0.00130317,0.000785484,0.000793025,0.000778019,0.00159569,0.00166485,0.00152865,0.00127647,0.00122801,0.00132217,0.00205896,0.000788447,0.000763513,0.00081243,0.000821977,0.000812334,0.000831325,0.000984546,0.000972482,0.000996357,0.00122558,0.00120887,0.00124234,0.0025097,0.0025347,0.00249247
SPN01_CMH_0027_01,0.00106992,0.0011302,0.00100929,0.00139573,0.00152608,0.00127724,0.00139181,0.00208253,0.00218809,0.000964508,0.000963767,0.0009653,0.00323444,0.00340904,0.00305851,0.00113442,0.00113444,0.0011344,0.00199884,0.00203914,0.00195567,0.00123503,0.00121716,0.00125282,0.0030032,0.00167069,0.00160084,0.00164002,0.00188861,0.0013288,0.00137103,0.00128872,0.0013052,0.00132797,0.00128623,0.0015789,0.00152797,0.00162426,0.000957451,0.000971346,0.000943696,0.00218166,0.00222374,0.00214087,0.00170184,0.00170358,0.00170019,0.00257068,0.00097715,0.000943714,0.00100931,0.0015442,0.00174279,0.00135168,0.000967143,0.000960726,0.000973426,0.00149583,0.00166145,0.00132969,0.00307734,0.00311706,0.00304996
SPN01_CMH_0020_01,0.00118587,0.00124156,0.00112986,0.00146213,0.00159545,0.00134094,0.0014633,0.00217207,0.00230203,0.000960042,0.000958342,0.00096186,0.00327662,0.00353449,0.00301677,0.00117673,0.00117595,0.00117748,0.00183694,0.00183452,0.00183953,0.00122815,0.00111132,0.00134449,0.00313144,0.00138313,0.00142351,0.00140086,0.00225928,0.00130147,0.00131072,0.00129268,0.00148789,0.00128592,0.00165619,0.00151446,0.00149536,0.00153147,0.000988289,0.000980204,0.000996293,0.00165735,0.00187752,0.00144395,0.00151089,0.00143074,0.00158646,0.00251438,0.000991727,0.000941593,0.00103995,0.00153223,0.00184664,0.00122745,0.000977558,0.000949061,0.00100546,0.00139392,0.00144021,0.00134748,0.00277269,0.00302594,0.00259816
