id,ACR_MD,ACR-L_MD,ACR-R_MD,ALIC_MD,ALIC-L_MD,ALIC-R_MD,AverageFA_MD,BCC_MD,CC_MD,CGC_MD,CGC-L_MD,CGC-R_MD,CGH_MD,CGH-L_MD,CGH-R_MD,CR_MD,CR-L_MD,CR-R_MD,CST_MD,CST-L_MD,CST-R_MD,EC_MD,EC-L_MD,EC-R_MD,FX_MD,FX/ST-L_MD,FX/ST-R_MD,FXST_MD,GCC_MD,IC_MD,IC-L_MD,IC-R_MD,IFO_MD,IFO-L_MD,IFO-R_MD,PCR_MD,PCR-L_MD,PCR-R_MD,PLIC_MD,PLIC-L_MD,PLIC-R_MD,PTR_MD,PTR-L_MD,PTR-R_MD,RLIC_MD,RLIC-L_MD,RLIC-R_MD,SCC_MD,SCR_MD,SCR-L_MD,SCR-R_MD,SFO_MD,SFO-L_MD,SFO-R_MD,SLF_MD,SLF-L_MD,SLF-R_MD,SS_MD,SS-L_MD,SS-R_MD,UNC_MD,UNC-L_MD,UNC-R_MD
SPN01_CMH_0024_01,0.00110422,0.00120948,0.000998345,0.00157427,0.00193964,0.00124216,0.00143319,0.00213433,0.00223382,0.000956347,0.00100526,0.000904025,0.00284297,0.0029197,0.00276565,0.00113969,0.00117504,0.00110554,0.00187367,0.00178502,0.00196861,0.00114707,0.00118965,0.00110467,0.00299274,0.00158987,0.00151026,0.00155491,0.00210146,0.00135386,0.00150753,0.00120802,0.00147345,0.00144167,0.00149993,0.00151419,0.0014937,0.00153244,0.000969181,0.0010119,0.000926892,0.00199247,0.00237306,0.00162357,0.00158781,0.0016824,0.00149862,0.00247547,0.000985916,0.000976977,0.000994515,0.0021734,0.002646,0.00171526,0.00102086,0.001081,0.000961974,0.00156069,0.00180181,0.00131883,0.00269652,0.00314413,0.00238803
SPN01_CMH_0001_01,0.000900786,0.00092396,0.000877478,0.000906536,0.000939827,0.000876275,0.00127241,0.0017243,0.00188227,0.000985749,0.00101602,0.000953369,0.00277988,0.00283441,0.00272493,0.000994764,0.000990109,0.00099926,0.00154936,0.00159156,0.00150416,0.00104039,0.00106135,0.00101951,0.00263025,0.00136335,0.00168855,0.00150614,0.00142618,0.00106265,0.00103741,0.00108661,0.00114825,0.00117294,0.00112767,0.00145272,0.00140045,0.00149929,0.000897563,0.00092888,0.000866563,0.0017009,0.00176325,0.00164047,0.0014161,0.00126604,0.00155758,0.00246111,0.000863724,0.000862346,0.000865049,0.000947082,0.0010799,0.000818329,0.000944408,0.000965247,0.000924004,0.00130977,0.0012823,0.00133733,0.00302705,0.00318748,0.00291649
SPN01_ZHH_0014_01,0.00130915,0.00135232,0.00126573,0.00222039,0.00242941,0.0020304,0.00160686,0.00218081,0.00232221,0.00116435,0.00119864,0.00112766,0.00292623,0.00278136,0.00307221,0.00127064,0.00128006,0.00126155,0.00144314,0.00140496,0.00148403,0.00139429,0.00130875,0.00147948,0.0029655,0.00163555,0.00176285,0.00169145,0.0023202,0.00166855,0.00173549,0.00160501,0.00172957,0.00177452,0.00169212,0.00161475,0.00158599,0.00164037,0.001041,0.00107117,0.00101114,0.00203658,0.00194131,0.00212893,0.00185611,0.00185624,0.00185599,0.00251794,0.00104927,0.00104475,0.00105362,0.00230712,0.00274367,0.00188394,0.00118052,0.00120073,0.00116074,0.00153893,0.00160844,0.0014692,0.00261122,0.00239993,0.00275684
SPN01_CMH_0005_01,0.000997072,0.00105632,0.000937482,0.000907992,0.00092851,0.000889341,0.0013326,0.00158779,0.00191852,0.000946556,0.000948268,0.000944724,0.00307696,0.00336191,0.00278982,0.00102915,0.0010316,0.00102679,0.00153452,0.00148802,0.00158432,0.00107,0.00105623,0.00108371,0.00291651,0.0015011,0.00133307,0.00142732,0.00163585,0.0011083,0.00112504,0.0010924,0.00138294,0.00120951,0.00152746,0.00150989,0.00141764,0.00159206,0.000890051,0.00090456,0.000875688,0.00174956,0.00188647,0.00161686,0.00156942,0.00158785,0.00155205,0.00259695,0.000816615,0.00081124,0.000821786,0.000731159,0.000730709,0.000731595,0.000991691,0.00100649,0.000977202,0.00124938,0.00132281,0.00117572,0.00306985,0.00305017,0.00308341
SPN01_CMH_0011_01,0.000901699,0.000908425,0.000894935,0.000886085,0.000876204,0.000895066,0.00133591,0.00175505,0.00191405,0.000935511,0.000948622,0.000921486,0.00292884,0.00283693,0.00302146,0.000986918,0.000976802,0.000996687,0.00187628,0.00188199,0.00187016,0.00105542,0.00105757,0.00105328,0.00297687,0.00133816,0.00143008,0.00137852,0.00153924,0.00102057,0.00102163,0.00101956,0.00139199,0.00127295,0.00149119,0.00144518,0.00139891,0.0014864,0.000848269,0.000856863,0.000839762,0.00151848,0.0016469,0.00139401,0.00136073,0.00136605,0.00135572,0.00242982,0.000845853,0.000845757,0.000845946,0.000902837,0.000996899,0.000811655,0.00096969,0.000977384,0.000962157,0.00121808,0.00135489,0.00108084,0.00280379,0.00302591,0.00265071
SPN01_MRC_P001_01,0.0013187,0.00134299,0.00129427,0.00246036,0.00250259,0.00242198,0.00135431,0.00231143,0.00231821,0.000877734,0.000886253,0.000868621,0.00206451,0.00208819,0.00204065,0.00127482,0.00128309,0.00126685,0.00110817,0.00122549,0.000961875,0.00105038,0.00104187,0.00105886,0.00276139,0.00172224,0.00148343,0.00161738,0.00243822,0.0016448,0.00168157,0.0016099,0.00122613,0.00102976,0.00138977,0.00139737,0.00138544,0.001408,0.000888843,0.000913453,0.000864481,0.00223454,0.00236891,0.00210429,0.00171855,0.00180269,0.00163921,0.00223229,0.00116201,0.0011632,0.00116087,0.00266391,0.00278652,0.00254505,0.000961288,0.0010001,0.000923287,0.00137086,0.0014634,0.00127803,0.00257748,0.00260369,0.00255942
SPN01_MRC_0014_01,0.000851054,0.000833488,0.000868722,0.00111556,0.000895524,0.00131556,0.00126102,0.00185862,0.001849,0.000904032,0.000905926,0.000902007,0.0019409,0.0020156,0.00186562,0.000943627,0.000899789,0.000985964,0.000874195,0.000746865,0.00127629,0.00111789,0.0011023,0.00113341,0.0025671,0.00127937,0.0013063,0.00129119,0.00155106,0.00108263,0.000994825,0.00116595,0.00112829,0.00121006,0.00106015,0.00130044,0.00127112,0.00132656,0.000825516,0.000816415,0.000834525,0.00192436,0.00190836,0.00193986,0.00135445,0.00131016,0.0013962,0.00207222,0.000863325,0.000791592,0.000932323,0.00134871,0.0010063,0.00168064,0.000988004,0.00102718,0.000949647,0.00135545,0.00135748,0.00135341,0.00257348,0.00255074,0.00258916
SPN01_ZHH_0007_01,0.00103708,0.00105192,0.00102216,0.00102472,0.00109476,0.00096106,0.00127187,0.00191102,0.0019831,0.000893835,0.000877624,0.000911176,0.0030369,0.00310945,0.0029638,0.00106633,0.00105879,0.00107362,0.00130989,0.0014353,0.00117557,0.00102886,0.00101769,0.00103999,0.0028734,0.00123339,0.00126718,0.00124823,0.0016194,0.0010478,0.00107316,0.00102373,0.00122246,0.00116262,0.00127232,0.00146172,0.00140079,0.001516,0.000923464,0.000946166,0.000900991,0.00133361,0.0014377,0.00123272,0.0012186,0.00120621,0.00123029,0.0023707,0.000894755,0.000896715,0.00089287,0.00129252,0.00151532,0.00107655,0.000924171,0.000913281,0.000934834,0.00111944,0.00114362,0.00109518,0.00266705,0.00301885,0.00242459
SPN01_MRC_0002_01,0.0010581,0.00109106,0.00102495,0.00123312,0.00133776,0.001138,0.0011892,0.00168941,0.00183079,0.000859162,0.000889588,0.000826616,0.00199291,0.00203216,0.00195335,0.000990435,0.00100191,0.000979349,0.000824568,0.000698353,0.000952041,0.00096263,0.000963025,0.000962236,0.00233253,0.00102182,0.0010365,0.00102827,0.00186411,0.00100954,0.00104262,0.000978147,0.00122074,0.00114342,0.00128518,0.00123097,0.00118598,0.00127105,0.000684996,0.000679161,0.000690772,0.0012028,0.00111529,0.00128762,0.00116894,0.00119237,0.00114684,0.00199847,0.000789796,0.000807728,0.000772547,0.00138119,0.00165303,0.00111768,0.000855803,0.000868157,0.000843708,0.000959307,0.000899788,0.00101901,0.0022242,0.00245889,0.00206245
SPN01_MRC_0007_01,0.00117594,0.00125523,0.0010962,0.00145067,0.00173967,0.00118797,0.00138034,0.00191687,0.00201116,0.000984004,0.00102483,0.000940333,0.00213747,0.00219019,0.00208434,0.00111206,0.00115328,0.00107226,0.000910225,0.000881329,0.000941565,0.00118523,0.00122808,0.00114256,0.00240463,0.00129134,0.00123112,0.0012649,0.00207062,0.00116133,0.00127746,0.00105112,0.00115152,0.00108982,0.00120293,0.00139657,0.00141047,0.00138418,0.000803687,0.000840972,0.000766778,0.00174231,0.00193575,0.00155481,0.00129363,0.0013506,0.00123992,0.00209343,0.000892943,0.000907995,0.000878465,0.00162181,0.00213756,0.00112184,0.00101332,0.00108975,0.00093849,0.00127533,0.00143618,0.00111399,0.00238635,0.00251941,0.00229465
