"ROI","cohen.D","cohenD.se","tstat","df","raw","fdr","bonferroni","n","p0.05"
"ACR-L",0.651716282384834,0.238749747602377,2.86995136081772,62.0124039519652,0.00560769260927318,0.0206419729059273,0.201876933933834,76,TRUE
"ACR-R",0.635839803356478,0.238452486530895,2.8000363934861,56.9900798593339,0.00696372792398069,0.0208911837719421,0.250694205263305,76,TRUE
"ALIC-L",0.646045703033861,0.238642776363859,2.84497993173911,73.5498385464505,0.00574950447175337,0.0206419729059273,0.206982160983121,76,TRUE
"ALIC-R",0.583268781048716,0.237518095076288,2.56853032084412,72.1810404610358,0.0122813889554908,0.0276331251498544,0.44213000239767,76,TRUE
"BCC",0.611127616435406,0.238003675527467,2.69121177700823,65.9087564432241,0.00901352026850476,0.0249605176666286,0.324486729666172,76,TRUE
"CGC-L",0.73572189408751,0.24043760886307,3.23988537372927,65.0254877920797,0.00188588898457246,0.0135784006889217,0.0678920034446086,76,TRUE
"CGC-R",0.511966648930531,0.23637455817854,2.25453839424537,63.1048683634587,0.0276417520925916,0.0497551537666648,0.995103075333296,76,TRUE
"CGH-L",0.307387123926359,0.233901118840573,1.35363519134754,66.74611570396,0.180419023779487,0.259803394242462,1,76,FALSE
"CGH-R",0.310654522373559,0.233931072500447,1.3680237755725,72.1129717760935,0.175552456001092,0.259803394242462,1,76,FALSE
"CST-L",0.213267031059558,0.233173060832725,0.939160218258155,73.641444808277,0.350718765421915,0.420862518506299,1,76,FALSE
"CST-R",0.0669421747066583,0.232562144698884,0.294792059962721,66.3516722685612,0.769073127028146,0.784215810752495,1,76,FALSE
"EC-L",0.585917898117184,0.23756333658821,2.58019619039673,69.2595056357666,0.0119977120679596,0.0276331251498544,0.431917634446547,76,TRUE
"EC-R",0.545483110513191,0.236894231231606,2.40213423791059,69.1165003414569,0.0189912287090553,0.0359833807118942,0.68368423352599,76,TRUE
"FX",0.250300315476191,0.233428377490935,1.10224303186861,73.1172794874619,0.273971009836438,0.360640536341693,1,76,FALSE
"GCC",0.842399161675342,0.242854863068028,3.70965815301551,51.6794497460624,0.000508072918171335,0.00822931710632598,0.0182906250541681,76,TRUE
"IFO-L",0.176722772522927,0.232960891882969,0.778230919187263,72.3798805032604,0.438969554461991,0.509771095504248,1,76,FALSE
"IFO-R",0.427793319614254,0.235210562119225,1.88386580627225,72.0247835900192,0.0636196680112172,0.104104911291083,1,76,FALSE
"PCR-L",0.279013151908009,0.233654173132612,1.22868523719282,71.051561677078,0.223243953928541,0.309107013131826,1,76,FALSE
"PCR-R",0.54940703184251,0.236957148353099,2.41941394023383,73.1817073152747,0.0180309016618216,0.0359833807118942,0.649112459825578,76,TRUE
"PLIC-L",0.145952320199263,0.232812965931437,0.642727627484738,73.9197335260697,0.522389500767371,0.569879455382586,1,76,FALSE
"PLIC-R",0.0921844252160761,0.23262206390482,0.405950908003942,73.0879446449927,0.685964742024204,0.726315609202098,1,76,FALSE
"PTR-L",0.746141002164478,0.240660311441172,3.28576781400617,67.5531262997133,0.00161484011857991,0.0135784006889217,0.0581342442688769,76,TRUE
"PTR-R",0.676441057227767,0.239226503101215,2.97883141050242,67.7622408000328,0.00401285246093053,0.0206419729059273,0.144462688593499,76,TRUE
"RLIC-L",0.55923815807085,0.2371166885113,2.4627070953383,68.8355624784124,0.0162955419887549,0.0345082065644222,0.586639511595178,76,TRUE
"RLIC-R",0.638456511586682,0.238501000840579,2.81155954481608,73.9982957752944,0.00630726949903335,0.0206419729059273,0.227061701965201,76,TRUE
"SCC",0.679275516924794,0.239282230590872,2.9913134700804,47.7510885062444,0.00438443990262797,0.0206419729059273,0.157839836494607,76,TRUE
"SCR-L",0.216134493577788,0.233191382123101,0.951787611770826,71.2432324178674,0.344422693400793,0.420862518506299,1,76,FALSE
"SCR-R",0.246905559058401,0.233403287256441,1.08729360362166,72.7123107321512,0.280498194932428,0.360640536341693,1,76,FALSE
"SFO-L",0.156585987735278,0.232860906340687,0.68955491942195,72.5987339231171,0.492672357471984,0.554256402155982,1,76,FALSE
"SFO-R",0.0624194369957997,0.232553415666431,0.274875360627847,70.5112395053304,0.784215810752495,0.784215810752495,1,76,FALSE
"SLF-L",0.596167638710193,0.23774022967565,2.62533279010741,65.519161573074,0.01076310258573,0.0276331251498544,0.38747169308628,76,TRUE
"SLF-R",0.495389849992702,0.236129314033562,2.1815394406278,71.753281830859,0.0324207072145801,0.0555783552249945,1,76,FALSE
"SS-L",0.859387319906045,0.243267554901184,3.78446860220911,63.965423416127,0.00034200232855536,0.00822931710632598,0.012312083827993,76,TRUE
"SS-R",0.80889632632347,0.242063167558398,3.5621223149396,66.5065865976863,0.000685776425527165,0.00822931710632598,0.024687951318978,76,TRUE
"UNC-L",0.379540975584304,0.234635206108351,1.67137782008192,69.1731377276332,0.0991654991303948,0.15521556385627,1,76,FALSE
"UNC-R",0.644465130738548,0.238613118157942,2.83801959373251,70.4928786045112,0.00592457245314485,0.0206419729059273,0.213284608313215,76,TRUE
