"","cohen.D","tstat","df","raw","fdr","bonferroni","n","p0.05"
"L_bankssts_surfavg",0.382048255527847,1.71206228523254,75.6133711546294,0.0909839232479179,0.247476271234337,1,79,FALSE
"L_caudalanteriorcingulate_surfavg",0.0447607041039775,0.200327819987009,72.9695301206495,0.841781488035093,0.930891805539098,1,79,FALSE
"L_caudalmiddlefrontal_surfavg",0.479074619727004,2.15783665215469,72.0170236006454,0.0342762599075026,0.13710503963001,1,79,FALSE
"L_cuneus_surfavg",-0.0425848481349298,-0.19135480208291,76.5465738012898,0.848754293285648,0.930891805539098,1,79,FALSE
"L_entorhinal_surfavg",0.136018481393471,0.611283541452917,76.4101449054848,0.542826240049373,0.786724300261879,1,79,FALSE
"L_fusiform_surfavg",0.665310149851683,2.99386055522563,74.3358419604085,0.00373884323038042,0.0786706403721554,0.254241339665868,79,FALSE
"L_inferiorparietal_surfavg",0.517518481735183,2.32450176091387,76.8476316679834,0.0227415698990303,0.118955904087235,1,79,FALSE
"L_inferiortemporal_surfavg",0.289885338092186,1.30342458775014,75.7858011410095,0.196375725228165,0.443276727173738,1,79,FALSE
"L_isthmuscingulate_surfavg",0.150197944967275,0.67314242090907,75.7594431554062,0.502904986269785,0.786724300261879,1,79,FALSE
"L_lateraloccipital_surfavg",0.533707701618087,2.39757315003567,76.7583343829203,0.0189349176297832,0.117052218075023,1,79,FALSE
"L_lateralorbitofrontal_surfavg",0.338141077268427,1.51800670534993,76.9990620746549,0.133108049916452,0.323262406939955,1,79,FALSE
"L_lingual_surfavg",0.0051224385411089,0.0229159149299258,71.8454445978385,0.981780873038971,0.981780873038971,1,79,FALSE
"L_medialorbitofrontal_surfavg",0.495708251324718,2.2218598243187,75.9167930315459,0.0292717878972279,0.125302349981914,1,79,FALSE
"L_middletemporal_surfavg",0.560507232104758,2.51773689895735,76.8152296024659,0.013892583180625,0.0952328301018227,0.944695656282497,79,FALSE
"L_parahippocampal_surfavg",0.596853273343135,2.67615235224517,76.3526309683273,0.00910971086572174,0.0926067539333616,0.619460338869078,79,FALSE
"L_paracentral_surfavg",0.137068198171758,0.614331501015372,75.8372085034889,0.540834980925655,0.786724300261879,1,79,FALSE
"L_parsopercularis_surfavg",0.00639448367268755,0.0286670787312462,76.1794820716328,0.977205081389359,0.981780873038971,1,79,FALSE
"L_parsorbitalis_surfavg",0.107307232382185,0.480649548310312,74.7991037318623,0.632168468731033,0.859749117474205,1,79,FALSE
"L_parstriangularis_surfavg",0.136929031613063,0.613405966187179,75.0292849868923,0.541463112349751,0.786724300261879,1,79,FALSE
"L_pericalcarine_surfavg",-0.073060390461537,-0.328785849798411,74.218389913013,0.743243490702532,0.895851082160304,1,79,FALSE
"L_postcentral_surfavg",-0.0318256908934667,-0.142771350754516,76.7873149804224,0.886844736776189,0.957229239694934,1,79,FALSE
"L_posteriorcingulate_surfavg",0.265957166367059,1.19498347216257,76.6155963891202,0.23577951038793,0.485848688072099,1,79,FALSE
"L_precentral_surfavg",0.236164622363702,1.05701969024346,73.1071693719319,0.293982971551552,0.555301168486264,1,79,FALSE
