"","cohen.D","tstat","df","raw","fdr","bonferroni","n","p0.05"
"L_bankssts_surfavg",0.150457923428748,0.674504895888776,76.1571530769449,0.50203282285554,0.742135477264712,1,79,FALSE
"L_caudalanteriorcingulate_surfavg",-0.208008659506517,-0.931712024579549,74.8024052069141,0.354482839547697,0.664919582181502,1,79,FALSE
"L_caudalmiddlefrontal_surfavg",0.254724328921654,1.14683567289347,73.1422422481567,0.255187339105778,0.658954222220278,1,79,FALSE
"L_cuneus_surfavg",-0.309874015177612,-1.39262384640074,76.4007823408053,0.167773272046701,0.633810138843091,1,79,FALSE
"L_entorhinal_surfavg",-0.0146456518299475,-0.0656724380848789,76.4282745731631,0.947810097702991,0.97847967340713,1,79,FALSE
"L_fusiform_surfavg",0.497968700848183,2.23211299809734,75.9911910728246,0.0285536803612987,0.465345191226399,1,79,FALSE
"L_inferiorparietal_surfavg",0.244117923441295,1.09508994847638,76.7679478258961,0.276901106790969,0.658954222220278,1,79,FALSE
"L_inferiortemporal_surfavg",0.0276076975183839,0.123880981338311,76.9179190681742,0.901732668840721,0.97847967340713,1,79,FALSE
"L_isthmuscingulate_surfavg",-0.0830314250134319,-0.372385574449198,76.5932154745352,0.710634200302209,0.894872696676856,1,79,FALSE
"L_lateraloccipital_surfavg",0.349600327518246,1.56851027108641,76.8562897989107,0.1208703406617,0.633810138843091,1,79,FALSE
"L_lateralorbitofrontal_surfavg",0.0196967122912255,0.088434682342634,76.9869155733499,0.929760838035351,0.97847967340713,1,79,FALSE
"L_lingual_surfavg",-0.275335038761056,-1.22902592119334,64.5612534270238,0.223522905936817,0.658954222220278,1,79,FALSE
"L_medialorbitofrontal_surfavg",0.267074990908382,1.19858463690895,76.9637322879182,0.234367141817933,0.658954222220278,1,79,FALSE
"L_middletemporal_surfavg",0.312708700730844,1.40359808431402,76.9928786121461,0.164459084069773,0.633810138843091,1,79,FALSE
"L_parahippocampal_surfavg",0.384539136931483,1.72104919427795,73.0180634303667,0.0894767664393749,0.633810138843091,1,79,FALSE
"L_paracentral_surfavg",-0.0845623605046786,-0.379579041886501,76.9975795716271,0.705302813922236,0.894872696676856,1,79,FALSE
"L_parsopercularis_surfavg",-0.253618708344864,-1.13571534104182,74.2775960996266,0.25972701464306,0.658954222220278,1,79,FALSE
"L_parsorbitalis_surfavg",-0.178085004029652,-0.797853453320871,75.2090213894982,0.427467530242318,0.664919582181502,1,79,FALSE
"L_parstriangularis_surfavg",-0.186384175414464,-0.83566134918704,76.2965786899148,0.405954835895972,0.664919582181502,1,79,FALSE
"L_pericalcarine_surfavg",-0.442678822131504,-1.98969876456284,76.2741538394521,0.050208796194075,0.56903302353285,1,79,FALSE
"L_postcentral_surfavg",-0.498502092587749,-2.23274875586725,74.678703642577,0.0285623436088563,0.465345191226399,1,79,FALSE
"L_posteriorcingulate_surfavg",0.0626742302774227,0.281559162138219,76.7390257035941,0.779039416850716,0.913356557687046,1,79,FALSE
"L_precentral_surfavg",-0.202691860331886,-0.908046669460422,75.1107638158692,0.366757852507544,0.664919582181502,1,79,FALSE
