"","cohen.D","tstat","df","raw","fdr","bonferroni","n","p0.05"
"L_bankssts_thickavg",0.0522380273961157,0.234465187487857,76.9895876823926,0.815246278394981,0.937412006970692,1,79,FALSE
"L_caudalanteriorcingulate_thickavg",0.309787796754603,1.3891835027428,76.4763589350254,0.168808799531716,0.614801882356197,1,79,FALSE
"L_caudalmiddlefrontal_thickavg",0.0371454000469736,0.166641030051407,76.8066349280735,0.868090429274044,0.937412006970692,1,79,FALSE
"L_cuneus_thickavg",0.113802575884344,0.511129368455008,76.8771066389663,0.610725321442005,0.830586437161127,1,79,FALSE
"L_entorhinal_thickavg",0.0392386788136383,0.175671549434209,73.7617331550658,0.861033363442028,0.937412006970692,1,79,FALSE
"L_fusiform_thickavg",0.282311034930563,1.26469958712161,75.0591315366379,0.209891775951164,0.614801882356197,1,79,FALSE
"L_inferiorparietal_thickavg",-0.0477543345548393,-0.214535404542969,76.7300898439854,0.830698699386937,0.937412006970692,1,79,FALSE
"L_inferiortemporal_thickavg",0.372803713746847,1.66305596771399,62.2195995677616,0.101331056602412,0.530039372997233,1,79,FALSE
"L_isthmuscingulate_thickavg",0.279251969141368,1.25724417356788,73.1847035495097,0.21266268438596,0.614801882356197,1,79,FALSE
"L_lateraloccipital_thickavg",-0.0379687850550766,-0.169950946784039,73.2696547979326,0.86551710082453,0.937412006970692,1,79,FALSE
"L_lateralorbitofrontal_thickavg",0.508918920473718,2.28677937824777,76.5645155224826,0.0249728232940422,0.367842527084119,1,79,FALSE
"L_lingual_thickavg",0.0069322845922863,0.0310737446310318,76.000701653476,0.975292187191412,0.994774801627066,1,79,FALSE
"L_medialorbitofrontal_thickavg",0.446968587262803,2.00391880830039,76.2485561998293,0.0486308742542798,0.472390829290381,1,79,FALSE
"L_middletemporal_thickavg",0.502939411489851,2.25445112933464,76.0250512359725,0.0270472446385381,0.367842527084119,1,79,FALSE
"L_parahippocampal_thickavg",0.261051454506138,1.17296995695963,76.5947779290618,0.244442790409606,0.614801882356197,1,79,FALSE
"L_paracentral_thickavg",0.0225940063431183,0.101295393010156,76.2305274932936,0.919581933608266,0.962024176697878,1,79,FALSE
"L_parsopercularis_thickavg",0.207150173837399,0.93036481830401,76.8887049964634,0.355094149433963,0.650664751508258,1,79,FALSE
"L_parsorbitalis_thickavg",0.703761372594326,3.15531182986441,76.2850333872286,0.00229489120803682,0.156052602146504,0.156052602146504,79,FALSE
"L_parstriangularis_thickavg",0.183032949675367,0.824447649374891,71.8985048427309,0.412412030633685,0.68400044105099,1,79,FALSE
"L_pericalcarine_thickavg",0.185325773410174,0.828441012728139,69.5401474502396,0.410255134720723,0.68400044105099,1,79,FALSE
"L_postcentral_thickavg",0.00146104758934238,0.00657058318963957,75.4994065516104,0.994774801627066,0.994774801627066,1,79,FALSE
"L_posteriorcingulate_thickavg",0.433447594328325,1.94394320904714,76.5864545410151,0.0555753916812213,0.472390829290381,1,79,FALSE
"L_precentral_thickavg",-0.0424889525243267,-0.190513199895841,76.3670306027963,0.849412545683898,0.937412006970692,1,79,FALSE
