"","cohen.D","tstat","df","raw","fdr","bonferroni","n","p0.05"
"L_bankssts_thickavg",0.390118725082756,1.75059116172952,76.929624807959,0.0840029911624311,0.272009685668824,1,79,FALSE
"L_caudalanteriorcingulate_thickavg",0.369767697091884,1.65806907436429,76.4264294419681,0.101402760917662,0.275815509696042,1,79,FALSE
"L_caudalmiddlefrontal_thickavg",0.235165180548886,1.05537232133735,76.9620315061167,0.294556882292451,0.406888950567113,1,79,FALSE
"L_cuneus_thickavg",0.241741031385058,1.08759308775093,74.7668706380281,0.280268435499928,0.406507271827285,1,79,FALSE
"L_entorhinal_thickavg",0.0753092396331755,0.337033844969636,72.8580081548137,0.737060353221215,0.835335066984044,1,79,FALSE
"L_fusiform_thickavg",0.469588670672657,2.10806268095605,76.999772082965,0.0382788379460102,0.234462555108856,1,79,FALSE
"L_inferiorparietal_thickavg",0.0518018354203763,0.232766982608521,76.5633588461168,0.816563480317897,0.854251025563339,1,79,FALSE
"L_inferiortemporal_thickavg",0.537225053494697,2.3996491974572,66.9682744488928,0.0191992086637196,0.186506598447561,1,79,FALSE
"L_isthmuscingulate_thickavg",0.293864181478431,1.32325742419819,72.7481874256878,0.189893723279921,0.336024933202351,1,79,FALSE
"L_lateraloccipital_thickavg",0.134440854900906,0.601913969302369,73.8464520137272,0.549075018963645,0.655036864728559,1,79,FALSE
"L_lateralorbitofrontal_thickavg",0.486712649711705,2.18613277297525,76.8477720739919,0.0318502519097874,0.234462555108856,1,79,FALSE
"L_lingual_thickavg",0.0602078603186863,0.270148193615784,76.8932606200091,0.787769983673178,0.837005607652752,1,79,FALSE
"L_medialorbitofrontal_thickavg",0.344661637679119,1.54433365229826,75.4158010336972,0.126693627772926,0.289767253739346,1,79,FALSE
"L_middletemporal_thickavg",0.813906438266316,3.6492651876158,76.3215001207994,0.00047896012798569,0.0325692887030269,0.0325692887030269,79,TRUE
"L_parahippocampal_thickavg",0.19370025171904,0.869786676040008,76.9603872047072,0.387121735197101,0.496684490441563,1,79,FALSE
"L_paracentral_thickavg",0.232906335250475,1.04672820301046,76.3911791432609,0.298525644711976,0.406888950567113,1,79,FALSE
"L_parsopercularis_thickavg",0.462548876827466,2.07485701661194,76.7374464805209,0.0413520317962126,0.234462555108856,1,79,FALSE
"L_parsorbitalis_thickavg",0.615916958013061,2.76169236588865,76.3771041516539,0.00719885074851012,0.163173950299563,0.489521850898688,79,FALSE
"L_parstriangularis_thickavg",0.321280750198717,1.44771825096282,70.7843215683431,0.152110668239307,0.327323567175198,1,79,FALSE
"L_pericalcarine_thickavg",0.268894204591622,1.20548673824936,76.1879787661885,0.23174617083814,0.387255370768419,1,79,FALSE
"L_postcentral_thickavg",0.107212023428664,0.482591553637988,73.6709310653503,0.630816673915061,0.739578169417658,1,79,FALSE
"L_posteriorcingulate_thickavg",0.620964387637601,2.77962329372982,73.3944382736066,0.00690839351803484,0.163173950299563,0.469770759226369,79,FALSE
"L_precentral_thickavg",0.264502400365255,1.18760006005668,76.9823488024961,0.238642436513329,0.387255370768419,1,79,FALSE
"L_precuneus_thickavg",0.292262889719935,1.31430161956574,75.5671237845693,0.192720182277819,0.336024933202351,1,79,FALSE
"L_rostralanteriorcingulate_thickavg",0.322529861789583,1.44135201673033,68.6009131427392,0.154034619847152,0.327323567175198,1,79,FALSE
"L_rostralmiddlefrontal_thickavg",0.453802335127036,2.03996150105196,76.1161430587358,0.0448237237708107,0.234462555108856,1,79,FALSE
"L_superiorfrontal_thickavg",0.433464104705535,1.94627068958503,76.9781398200883,0.055271534247861,0.250564288590303,1,79,FALSE
"L_superiorparietal_thickavg",-0.00545641927368021,-0.0244964178069809,76.9963125864053,0.980520017150751,0.980520017150751,1,79,FALSE
"L_superiortemporal_thickavg",0.454928505398983,2.04026258364127,76.5782611635602,0.0447719082059157,0.234462555108856,1,79,FALSE
"L_supramarginal_thickavg",0.302067027538308,1.35938026070326,74.1857552698991,0.178144023871697,0.336024933202351,1,79,FALSE
"L_frontalpole_thickavg",0.230085586812991,1.03230487365166,76.8598722247746,0.305166712925335,0.406888950567113,1,79,FALSE
"L_temporalpole_thickavg",0.345501541915045,1.5489567883703,76.2110186005189,0.125535020718187,0.289767253739346,1,79,FALSE
"L_transversetemporal_thickavg",0.248435132621031,1.11686344416794,76.0208157223284,0.267570256391701,0.404328387436348,1,79,FALSE
"L_insula_thickavg",0.542135864112711,2.42810196475139,74.6139473091883,0.0175884452017361,0.186506598447561,1,79,FALSE
"R_bankssts_thickavg",0.571861512963367,2.57060919250029,76.1452920472975,0.0121031398200091,0.186506598447561,0.823013507760616,79,FALSE
"R_caudalanteriorcingulate_thickavg",0.375683589767036,1.68585041446188,76.9368400636218,0.0958763863761725,0.275815509696042,1,79,FALSE
"R_caudalmiddlefrontal_thickavg",0.0688245715944857,0.308631849315958,76.4806619680011,0.758440711002843,0.837005607652752,1,79,FALSE
"R_cuneus_thickavg",0.39157365449636,1.75951143392921,76.5583769502501,0.0824856414363416,0.272009685668824,1,79,FALSE
"R_entorhinal_thickavg",0.0625320188399102,0.280622387667752,76.9537610856839,0.779753107925679,0.837005607652752,1,79,FALSE
"R_fusiform_thickavg",0.392623680867744,1.76045644769014,76.3664079556017,0.0823342566797549,0.272009685668824,1,79,FALSE
"R_inferiorparietal_thickavg",0.260849154823617,1.17185208894282,76.7346588527637,0.244882072691794,0.387255370768419,1,79,FALSE
"R_inferiortemporal_thickavg",0.372993775284841,1.67187174357109,75.9513288507896,0.0986648629181778,0.275815509696042,1,79,FALSE
"R_isthmuscingulate_thickavg",0.251804610745608,1.12683621930803,72.6915032330138,0.263517838182047,0.404328387436348,1,79,FALSE
"R_lateraloccipital_thickavg",0.351230024881358,1.57867497771499,76.267484038668,0.118549532504076,0.289767253739346,1,79,FALSE
"R_lateralorbitofrontal_thickavg",0.400878559077577,1.80129802903823,76.570541163295,0.0755927545122963,0.272009685668824,1,79,FALSE
"R_lingual_thickavg",0.178305728880109,0.799090344255879,75.7167937412868,0.426737628121951,0.537373309486901,1,79,FALSE
"R_medialorbitofrontal_thickavg",0.440753940198081,1.97749826212941,76.8614475922916,0.0515706404657551,0.250485967976525,1,79,FALSE
"R_middletemporal_thickavg",0.553101005745539,2.48801712729353,75.0614235070016,0.0150639771742,0.186506598447561,1,79,FALSE
"R_parahippocampal_thickavg",0.0638330042001022,0.286587762084442,76.992196915108,0.7751977801112,0.837005607652752,1,79,FALSE
"R_paracentral_thickavg",0.169827134667867,0.765384639558187,70.2647349413999,0.446605853854612,0.549664664397997,1,79,FALSE
"R_parsopercularis_thickavg",0.353287193833708,1.58596709859375,76.9997541832426,0.116845272160264,0.289767253739346,1,79,FALSE
"R_parsorbitalis_thickavg",0.263362388056709,1.18100374983406,76.4813366128664,0.241260871046509,0.387255370768419,1,79,FALSE
"R_parstriangularis_thickavg",0.292583407142589,1.31458653074388,76.6361497547953,0.192569554417365,0.336024933202351,1,79,FALSE
"R_pericalcarine_thickavg",0.242029978150588,1.08578951601978,76.8060562725617,0.280968261410035,0.406507271827285,1,79,FALSE
"R_postcentral_thickavg",0.0791244759787853,0.355328232060368,76.9343376965988,0.723316050457455,0.833652397137405,1,79,FALSE
"R_posteriorcingulate_thickavg",0.29799640765035,1.33721131593383,76.930522739915,0.185094171226992,0.336024933202351,1,79,FALSE
"R_precentral_thickavg",0.231349488035567,1.03608430303043,74.4627975403915,0.303515833472968,0.406888950567113,1,79,FALSE
"R_precuneus_thickavg",0.30021950780654,1.3448733852525,74.9868093381279,0.182719759454085,0.336024933202351,1,79,FALSE
"R_rostralanteriorcingulate_thickavg",0.372502325371841,1.66674856277445,72.3520544694543,0.0998880273439258,0.275815509696042,1,79,FALSE
"R_rostralmiddlefrontal_thickavg",0.168270853865464,0.754823462492631,76.7469101062332,0.452665017739527,0.549664664397997,1,79,FALSE
"R_superiorfrontal_thickavg",0.296191012077155,1.32902471407507,76.9055284299666,0.187769369160862,0.336024933202351,1,79,FALSE
"R_superiorparietal_thickavg",-0.0227346179171026,-0.102025703808058,76.9551547273961,0.919001651846178,0.932718094411046,1,79,FALSE
"R_superiortemporal_thickavg",0.342484506205707,1.53944186703715,76.2096770953948,0.12783849429677,0.289767253739346,1,79,FALSE
"R_supramarginal_thickavg",0.413515630041648,1.85963325953393,75.51510430844,0.0668322650763297,0.272009685668824,1,79,FALSE
"R_frontalpole_thickavg",0.0403238960869004,0.180671778246959,75.3368877563201,0.85711036041119,0.883083401635772,1,79,FALSE
"R_temporalpole_thickavg",0.208234465202012,0.931643888365621,72.0796709192191,0.354630671450432,0.463747801127488,1,79,FALSE
"R_transversetemporal_thickavg",0.457103706368823,2.0436624173382,70.0375184097849,0.0447497041989397,0.234462555108856,1,79,FALSE
"R_insula_thickavg",0.394892326261359,1.76946058880989,75.4690793607917,0.0808566950757968,0.272009685668824,1,79,FALSE
