subject,session,scan,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_y,snr
SPN01_CMH_0001,01,SPN01_CMH_0001_01_01_RST_07_Ax-RestingState,190.79425404422452,134344,405.10990281110037,0.44210347544325268,108.98834057783935,4579.113891459042,29496,941.04814840075892,2.5224268653901532,2.5291359999999998,2.8608287999999997,2.2181549999999999,0.0332712,11.303386709838707
SPN01_CMH_0002,01,SPN01_CMH_0002_01_01_RST_10_Ax-RestingState-I-S,225.59880259396814,127160,439.0321135239185,0.49945608238771899,71.77933602432006,4089.8754547302178,36680,872.60308663040087,2.6193935205264203,2.5859807999999997,2.9434719999999999,2.3611200000000001,0.0247871,9.3156635442965179
SPN01_CMH_0003,01,SPN01_CMH_0003_01_01_RST_08_Ax-RestingState,216.61388039634798,137493,440.11464027602597,0.4704952185693409,86.317305963803477,4452.3418534313469,34539,972.85124284747531,2.5677050855919243,2.6062015999999999,2.8763551999999999,2.2583199999999999,0.0366881,10.116322989480603
SPN01_CMH_0004,01,SPN01_CMH_0004_01_01_RST_07_Ax-RestingState,214.04517913556941,129642,428.9848695449503,0.47629432610601041,91.203736867065075,4480.4256309586472,34198,942.47399534923488,2.5577316756353539,2.5897951999999997,2.8244767999999998,2.2875000000000001,0.0214727,10.444250949249795
SPN01_CMH_0005,01,SPN01_CMH_0005_01_01_RST_07_Ax-RestingState,163.82589162680517,132982,384.98581076912791,0.44163081216976346,112.67442637729791,4363.3961248297073,30858,827.44792740405455,2.408498929432354,2.5011391999999999,2.6858688000000002,2.0797775000000001,0.0166697,11.333914141179587
SPN01_CMH_0007,01,SPN01_CMH_0007_01_01_RST_07_Ax-RestingState,157.01849056443129,133325,366.06390039915232,0.43821446492349037,120.32113559948066,4282.7883209986703,30515,864.57364001351038,2.505456742893128,2.5129600000000001,2.8008096,2.2345600000000001,0.0234683,11.699564792728161
SPN01_CMH_0008,01,SPN01_CMH_0008_01_01_RST_07_Ax-RestingState,175.34936316086603,130844,385.84699829379764,0.46016404511961106,100.23879276472265,4153.0908199013875,32996,870.15335964654173,2.5756802768869833,2.5669792,2.9616704,2.2475925000000001,0.028791,10.7635690785887
SPN01_CMH_0009,01,SPN01_CMH_0009_01_01_RST_08_Ax-RestingState,189.5905637281339,133824,391.82118016205504,0.45364185458002876,92.251246368358764,4101.2700054914967,30016,811.29390617288709,2.4928691442156716,2.4994111999999999,2.7941056,2.2182900000000001,0.0152476,10.467198337249748
SPN01_CMH_0011,01,SPN01_CMH_0011_01_01_RST_07_AxEPI-RestingState,144.51562847617205,132814,352.23514984677882,0.43483619598110768,139.36492701284499,4420.9052783260568,31026,810.58085061635063,2.374281645272843,2.3461408000000001,2.6508287999999998,2.1520925000000002,0.0186544,12.551005429892889
SPN01_CMH_0012,01,SPN01_CMH_0012_01_01_RST_07_AxEPI-RestingState,164.7833584299712,133877,344.30119937726738,0.44584735638525863,114.10432619013108,4002.9539955627279,29963,775.18940433934824,2.4251035960089844,2.3996575999999998,2.7148255999999997,2.1892749999999999,0.0174381,11.626314409600703
