conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.11777,0.038066,7.5395,3.5,0.029069,0.16706,8.0556,4077.5,2811
0.11777,0.038066,17.466,1.92,0.059991,0.21997,12.661,4623.5,4483.5
0.11777,0.038066,27.031,2.09,0.12383,0.36562,9.8049,8471,6963.5
0.11777,0.038066,37.516,2.2,0.20531,0.39456,5.2076,12243,8334.5
0.11777,0.038066,48.073,2.26,0.27535,0.44148,5.0113,13860,9352.5
0.11777,0.038066,54.577,2.4,0.30862,0.48839,5.526,12972,10522
0.11777,0.038066,59.129,2.61,0.35499,0.51254,4.8271,12820,11605
0.11777,0.038066,67.408,2.99,0.38689,0.51374,4.1049,12935,12200
0.11777,0.038066,72.82,3.5,0.41136,0.52209,4.3563,12852,12270
0.11777,0.038066,78.33,3.5,0.42803,0.53598,4.0865,12702,12180
0.11777,0.038066,83.119,3.5,0.4486,0.54652,3.8419,12861,12522
0.11777,0.038066,85.73,3.5,0.46857,0.54399,3.6508,13138,12634
0.11777,0.038066,94.975,3.5,0.48297,0.54477,3.2041,13064,12678
0.11777,0.038066,103.39,3.5,0.49664,0.5447,3.1184,12962,12636
0.11777,0.038066,106.56,3.5,0.51055,0.54095,2.9928,12860,12730
0.11777,0.038066,116.36,3.5,0.5222,0.54542,2.7709,12826,12630
0.11777,0.038066,127.57,3.5,0.53351,0.54926,2.5991,12850,12754
0.11777,0.038066,137.98,3.5,0.54473,0.54666,2.4339,12832,12698
0.11777,0.038066,147.7,3.5,0.55402,0.55123,2.3669,12840,12748
0.11777,0.038066,156.75,3.5,0.56344,0.55146,2.2178,12850,12658
