conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.14131,0.032143,6.1181,2.6,0.029799,0.16088,44.3,3827.5,2198.5
0.14131,0.032143,16.007,3.46,0.082384,0.27435,7.8053,5707.5,5659.5
0.14131,0.032143,29.798,3.2,0.12701,0.36109,6.1723,8047,5948
0.14131,0.032143,43.264,2.87,0.17789,0.39472,5.5033,9836,7240.5
0.14131,0.032143,55.809,3.5,0.22263,0.41131,4.9435,8862,9041.5
0.14131,0.032143,68.275,3.5,0.26429,0.43538,4.6337,10127,8457.5
0.14131,0.032143,81.846,3.5,0.28982,0.47134,4.244,10066,9817.5
0.14131,0.032143,95.094,3.5,0.32785,0.48448,3.7113,10766,10656
0.14131,0.032143,105.47,3.5,0.35,0.49881,3.6244,11134,11122
0.14131,0.032143,114.42,3.5,0.39136,0.51288,3.2854,11924,11656
0.14131,0.032143,122.91,3.5,0.41149,0.52928,3.0239,12212,11716
0.14131,0.032143,132.41,3.5,0.43025,0.53473,3.0429,12264,12140
0.14131,0.032143,143.15,3.5,0.44468,0.55398,3.0467,12025,11999
0.14131,0.032143,151.86,3.5,0.45746,0.55551,2.8911,11961,11745
0.14131,0.032143,159.25,3.5,0.47385,0.5711,2.7584,12054,12076
0.14131,0.032143,169.46,3.5,0.48809,0.57654,2.7388,12127,12325
0.14131,0.032143,179.75,3.5,0.51119,0.5799,2.6041,12492,12402
0.14131,0.032143,184.21,3.5,0.52253,0.58107,2.5526,12548,12516
0.14131,0.032143,193.39,3.5,0.53562,0.59748,2.4688,12499,12342
0.14131,0.032143,198.04,3.5,0.54736,0.60003,2.2962,12522,12516
