conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.11924,0.034093,4.3445,3.5,0.03172,0.17532,51.26,3271.5,1977.5
0.11924,0.034093,11.592,3.5,0.093795,0.27454,12.96,9369.5,5110
0.11924,0.034093,19.509,1.85,0.16102,0.37245,9.5556,10779,7187.5
0.11924,0.034093,30.635,3.5,0.22414,0.39906,5.7497,10956,8274.5
0.11924,0.034093,41.658,3.5,0.28181,0.43188,5.3541,13252,9620
0.11924,0.034093,54.728,3.4,0.31414,0.48763,5.1396,12380,10207
0.11924,0.034093,66.991,2.98,0.34905,0.50456,4.9844,12682,11145
0.11924,0.034093,79.157,2.96,0.37861,0.51281,3.8387,12912,11692
0.11924,0.034093,92.581,2.85,0.39494,0.52847,3.585,12704,12262
0.11924,0.034093,104.81,3.18,0.41485,0.54662,3.3785,12430,12206
0.11924,0.034093,116.84,3.19,0.43455,0.55162,3.3956,12552,12017
0.11924,0.034093,132.13,3.11,0.45133,0.55676,2.9573,12587,12304
0.11924,0.034093,144.41,3.19,0.47355,0.56186,3.0355,12826,12175
0.11924,0.034093,157.99,3.5,0.4922,0.56662,2.5869,12862,12510
0.11924,0.034093,166.9,3.5,0.5061,0.56841,2.4601,12962,12702
0.11924,0.034093,180.6,3.5,0.51811,0.56486,2.4466,12863,12534
0.11924,0.034093,187.58,3.5,0.53093,0.5643,2.3664,12898,12678
0.11924,0.034093,199.08,3.5,0.54123,0.56927,2.1948,12872,12720
0.11924,0.034093,208.82,3.5,0.55118,0.57234,2.1489,12820,12728
0.11924,0.034093,223.81,3.5,0.56012,0.57959,2.0597,12872,12642
